bedroom number,kitchen number,living number,bathroom number,dining number,other number,other area
2,1,1,0,1,2,0.0
2,1,1,1,0,2,0.0
4,1,1,1,0,1,30.4
4,1,1,1,0,1,30.4
6,1,1,2,0,6,16.1
2,1,0,1,1,1,10.2
3,1,0,1,1,2,0.0
2,1,0,1,1,6,190.3
3,1,0,1,0,5,45.900000000000006
1,1,0,1,1,0,0.0
2,1,1,0,1,1,0.0
1,1,1,1,0,3,32.6
4,1,1,1,1,4,120.0
4,1,1,2,1,3,216.0
3,1,1,1,1,1,73.8
3,1,1,1,1,5,415.0
3,1,2,2,1,4,586.8
2,1,1,1,1,1,101.3
3,1,1,1,1,3,128.9
3,1,1,1,1,3,43.3
2,1,1,1,1,4,65.89999999999999
3,1,1,1,1,5,415.0
2,1,0,1,1,1,10.2
2,1,0,1,1,5,2.1
2,1,1,0,1,3,0.0
2,1,0,1,1,1,10.6
3,1,1,1,1,2,0.0
3,1,1,1,0,2,10.0
2,1,1,1,1,1,0.0
4,1,1,1,1,4,0.0
2,1,1,1,1,2,0.0
2,1,1,1,0,0,0.0
2,1,0,1,0,1,22.0
2,1,1,1,1,6,1.2
4,1,0,1,1,9,50.2
2,1,1,1,1,0,0.0
2,1,1,1,0,0,0.0
1,0,0,0,1,1,0.0
4,1,2,1,1,2,0.0
3,1,1,2,1,4,16.8
4,2,0,2,2,10,22.9
2,1,1,2,0,4,53.3
3,1,1,1,1,3,0.0
1,1,1,0,0,3,0.0
2,1,0,0,0,2,22.4
3,1,2,1,1,2,10.6
2,1,0,1,1,1,8.9
2,0,0,1,1,1,1.0
3,1,1,1,1,3,9.3
4,1,1,0,1,0,0.0
2,1,0,1,1,2,3.8
2,1,0,1,1,2,19.9
1,1,1,1,0,1,7.6
2,1,0,1,1,4,24.3
2,1,0,1,0,2,11.8
2,1,0,1,1,6,10.7
2,1,0,1,1,3,31.3
3,1,1,1,0,1,0.0
3,1,1,1,0,2,3.9
3,1,0,1,1,4,43.099999999999994
3,1,1,1,1,2,4.0
3,1,2,3,1,2,16.6
2,1,1,1,0,3,50.5
3,1,1,1,1,1,0.0
3,1,1,1,1,2,6.0
2,1,1,1,0,1,48.7
3,1,1,1,1,5,71.9
3,1,0,2,1,5,41.3
2,1,0,1,0,3,25.1
3,1,0,0,0,3,14.1
2,1,0,1,0,3,17.3
2,1,0,1,0,2,20.1
4,1,0,1,1,5,27.4
1,0,0,0,0,1,4.3
2,1,1,1,1,1,23.8
2,1,1,1,0,0,0.0
3,1,1,1,1,1,2.6
3,1,0,2,1,4,15.0
3,1,1,2,0,1,64.3
3,1,0,2,0,4,182.60000000000002
3,1,1,1,1,2,6.8
3,1,0,1,1,2,14.0
2,1,0,1,0,4,46.2
2,1,1,0,0,3,17.2
0,0,1,0,0,0,0.0
2,1,2,1,1,1,16.5
1,0,1,1,0,1,5.0
2,1,1,1,1,1,7.9
3,1,1,3,0,4,34.300000000000004
3,0,1,2,0,2,13.2
4,1,1,2,1,0,0.0
1,1,1,1,0,0,0.0
1,1,1,1,0,0,0.0
2,1,1,1,0,4,0.0
2,1,1,1,0,1,0.0
5,1,0,5,1,10,57.0
5,1,1,2,1,6,62.7
3,1,0,1,1,10,310.5
3,1,0,1,1,6,225.70000000000002
6,1,1,1,0,12,379.8
3,1,0,1,1,9,129.6
3,1,0,2,1,4,69.5
3,1,0,1,1,6,102.4
3,1,0,0,1,11,574.3
3,1,0,1,1,9,388.8
4,1,0,2,1,6,210.79999999999998
3,1,0,1,1,8,223.3
3,1,0,1,1,8,173.2
5,1,0,1,1,10,212.60000000000002
3,1,0,1,1,9,227.9
4,1,0,2,1,8,243.79999999999998
3,1,0,1,1,7,140.6
5,1,0,1,2,11,238.8
4,1,0,1,1,10,1211.8
4,1,0,1,1,11,290.40000000000003
4,1,0,1,1,7,80.7
4,1,0,1,1,7,80.7
3,1,0,1,1,5,233.4
1,1,1,0,1,5,22.6
3,1,1,1,0,3,6.8
3,1,1,0,1,2,0.0
2,1,0,2,1,6,60.699999999999996
3,1,1,1,2,6,15.2
3,1,1,2,1,6,31.299999999999997
5,1,1,2,1,8,84.1
5,1,1,3,1,9,149.7
3,1,0,1,1,8,40.400000000000006
4,1,0,3,1,10,104.30000000000001
5,1,2,1,0,8,47.3
4,1,1,3,2,8,510.3
4,1,1,1,1,13,770.4
4,1,1,2,1,6,192.7
4,1,1,2,1,8,39.5
4,1,1,2,2,9,39.9
4,1,0,2,1,9,58.2
3,1,1,1,1,3,8.6
3,1,1,2,1,6,15.1
2,1,1,2,1,5,4.8
4,1,0,2,2,16,158.20000000000002
3,1,0,1,1,8,46.0
3,1,0,1,1,6,19.2
2,1,1,1,1,4,0.0
3,1,0,1,1,6,23.5
2,1,0,1,1,4,8.3
2,1,0,2,1,6,39.0
4,1,0,2,1,4,26.2
3,1,1,2,1,1,10.1
2,1,1,1,1,0,0.0
3,1,1,1,1,0,0.0
4,1,0,2,1,2,21.7
3,1,1,1,1,0,0.0
5,1,1,2,2,1,14.4
2,1,1,1,1,0,0.0
3,1,2,2,1,0,0.0
2,1,0,1,0,2,15.7
5,1,0,2,1,14,44.1
4,1,1,2,1,8,32.400000000000006
2,1,0,2,1,5,5.4
4,1,1,2,1,8,19.799999999999997
3,1,0,2,1,9,23.499999999999996
3,1,1,1,1,7,79.8
4,1,1,0,1,1,2.3
4,1,1,0,1,2,31.4
1,1,0,0,0,1,12.9
3,1,1,0,0,2,28.1
3,1,1,0,1,0,0.0
3,1,1,0,0,0,0.0
3,1,1,0,1,2,21.4
4,1,1,0,2,0,0.0
2,1,2,0,0,0,0.0
3,2,1,1,1,2,15.6
3,1,1,0,0,1,9.9
3,1,1,0,1,1,8.9
4,1,0,0,1,1,2.7
4,1,2,0,1,1,13.7
4,1,1,0,1,3,41.2
4,1,1,0,1,1,26.0
4,1,0,0,1,0,0.0
5,1,1,0,1,1,17.3
2,1,1,0,0,0,0.0
3,1,1,0,1,1,13.6
3,1,1,0,0,0,0.0
3,1,0,1,0,6,151.5
2,1,0,1,0,3,16.2
1,0,0,0,0,0,0.0
2,1,1,1,0,3,0.0
2,1,1,0,1,2,3.8
4,1,1,0,2,1,0.0
4,1,0,2,1,6,57.8
3,1,0,1,1,3,15.1
3,1,1,1,1,9,62.4
2,1,1,1,0,3,0.0
4,1,1,2,1,9,20.7
2,1,0,1,1,5,19.8
4,1,0,2,1,14,130.1
3,1,0,1,1,5,0.0
2,1,1,1,0,3,3.4
3,1,1,1,0,0,0.0
2,1,0,1,1,4,182.5
4,1,2,2,2,14,809.2
3,1,1,2,0,8,69.0
3,1,1,0,0,7,240.9
3,1,1,1,1,1,12.5
6,1,2,1,1,3,32.4
3,1,1,1,0,2,1.9
3,1,0,1,1,6,41.599999999999994
3,1,1,2,0,1,10.1
1,1,1,1,0,3,0.9
3,1,1,1,1,1,0.0
2,1,0,1,1,6,28.700000000000003
3,1,0,1,1,4,130.7
3,1,1,1,1,2,2.0
3,1,0,1,0,2,20.1
3,1,0,2,1,3,25.4
2,1,0,1,0,3,12.3
4,1,1,1,0,5,36.5
5,1,0,2,1,5,0.0
3,1,0,1,0,3,26.7
3,1,0,2,1,5,20.0
3,1,0,1,1,5,19.9
4,1,0,2,1,4,171.9
4,1,0,1,1,6,22.5
2,1,1,1,1,5,11.0
2,1,0,0,0,3,103.9
2,1,1,1,0,2,2.8
3,1,0,1,1,5,97.9
3,1,0,0,1,7,13.899999999999999
2,1,0,1,1,5,15.299999999999999
4,1,1,2,1,8,27.0
2,1,0,1,1,4,16.3
2,1,0,1,0,2,17.6
1,1,0,1,1,1,0.0
3,1,1,1,0,4,20.5
3,1,1,1,1,10,18.6
2,1,1,1,1,4,2.8
3,1,1,1,1,3,0.0
2,1,1,0,0,3,2.8
2,1,1,1,0,5,2.6
2,1,1,1,1,3,0.0
3,1,1,1,0,5,33.0
3,1,1,1,0,6,59.7
3,1,0,1,1,2,221.5
3,1,1,1,1,7,37.0
3,1,0,1,0,4,23.5
2,1,0,1,1,1,14.0
2,1,0,1,1,6,23.9
3,1,0,1,1,5,12.8
3,1,0,1,1,5,21.5
3,1,0,1,1,6,14.399999999999999
3,1,0,1,1,6,23.7
3,1,0,1,1,5,9.3
3,1,0,1,1,6,32.5
3,1,0,2,0,9,39.599999999999994
2,1,0,2,1,6,20.9
4,1,1,1,1,8,34.1
3,1,0,2,1,7,41.300000000000004
3,1,0,1,1,6,31.2
2,1,0,1,2,5,13.8
3,1,0,1,1,5,18.1
3,1,0,1,1,6,7.8
4,1,0,2,1,8,29.400000000000002
3,1,0,1,0,7,35.0
2,1,0,2,1,5,17.2
3,1,0,2,1,6,27.6
3,1,0,1,2,5,13.2
3,1,0,1,0,9,65.8
2,1,0,1,0,4,17.4
3,1,0,2,0,8,41.5
2,1,0,1,0,5,13.9
3,1,0,1,1,6,15.2
1,1,1,1,0,2,2.8
3,1,1,1,0,4,0.0
3,1,1,2,1,2,19.8
2,1,1,1,0,0,0.0
3,1,0,2,1,3,24.0
2,1,0,1,1,3,16.6
5,1,2,1,2,3,0.0
2,1,1,1,0,0,0.0
3,1,1,1,0,0,0.0
3,1,1,1,0,2,0.0
2,1,1,1,1,4,0.0
3,1,2,1,0,2,8.7
1,1,1,0,1,2,7.4
3,1,1,1,0,3,24.7
2,1,1,2,1,1,3.0
2,1,1,2,0,2,6.3
4,1,0,2,1,6,69.39999999999999
3,1,1,1,1,2,22.7
2,1,1,1,0,4,26.7
3,1,1,1,1,1,6.4
1,1,1,1,0,2,0.0
3,1,1,1,1,2,5.9
3,1,1,1,1,3,9.0
3,1,1,1,0,2,0.0
2,1,0,1,1,3,14.0
4,1,1,1,1,2,0.0
3,1,0,1,1,3,15.2
2,1,1,1,0,3,0.0
2,1,1,1,0,1,0.0
2,1,1,1,1,6,22.799999999999997
3,1,0,2,0,4,22.700000000000003
0,0,1,0,0,0,0.0
3,1,0,2,1,4,30.7
2,1,1,1,0,1,3.3
1,1,0,1,1,2,20.8
2,1,0,1,1,2,33.599999999999994
2,1,0,1,0,3,24.9
3,1,0,1,1,1,3.9
3,1,0,1,1,8,19.3
4,1,0,1,1,10,37.1
4,1,0,1,1,10,38.300000000000004
3,1,0,1,1,12,37.900000000000006
3,1,0,2,1,6,17.0
3,1,0,1,1,9,16.7
3,1,0,1,1,5,0.0
2,1,0,1,0,5,15.5
3,1,0,1,2,5,11.6
4,1,1,1,1,3,31.099999999999998
3,2,1,1,0,1,2.3
4,1,1,2,1,5,16.5
3,1,1,0,1,0,0.0
3,1,0,1,0,2,16.2
3,1,1,1,1,4,3.2
3,1,1,1,1,3,16.0
2,1,0,0,1,5,28.6
2,1,0,0,0,5,51.89999999999999
3,1,0,1,1,1,12.3
4,1,1,2,1,4,44.7
2,1,1,1,0,4,66.3
2,1,1,1,0,3,0.0
2,1,1,3,1,6,80.7
1,1,1,2,0,4,0.0
3,1,1,2,0,6,11.3
1,1,1,2,0,2,0.0
3,1,1,0,1,3,3.9000000000000004
3,1,0,1,1,2,18.7
3,1,1,1,1,3,0.0
3,1,0,1,1,4,36.0
2,1,1,1,0,0,0.0
2,1,1,1,1,1,0.0
3,1,0,1,1,5,24.0
3,1,1,1,1,3,17.7
2,1,1,1,1,1,5.3
2,1,2,1,1,2,11.100000000000001
1,1,1,1,0,2,0.0
2,1,1,1,1,1,5.3
2,1,0,2,0,5,16.9
2,1,0,1,1,5,21.1
2,1,1,1,0,2,2.9
2,1,1,1,0,2,2.9
3,1,0,1,0,2,22.3
3,1,0,1,1,4,35.7
2,1,0,1,1,4,20.0
3,1,0,1,1,5,24.0
2,1,0,1,1,5,22.3
1,1,0,2,1,4,20.9
2,1,0,1,0,6,39.199999999999996
2,1,0,1,0,5,17.900000000000002
2,1,1,1,1,5,22.5
3,1,0,2,1,5,389.3
2,1,0,1,1,3,22.1
2,1,1,1,1,3,7.4
2,1,1,1,1,3,7.4
3,1,1,1,1,0,0.0
2,1,1,1,0,3,22.3
2,1,1,1,0,1,0.0
3,1,1,1,0,2,0.0
3,1,1,0,1,2,14.0
3,1,0,3,1,6,50.5
0,1,1,2,1,2,0.0
3,1,1,1,1,4,2.1
3,1,1,1,1,3,0.0
2,1,0,1,1,2,0.0
2,1,2,2,1,5,7.3
4,1,1,1,1,5,105.5
2,1,0,1,1,6,13.1
5,1,0,1,1,8,23.8
3,1,1,0,1,4,0.0
3,1,1,1,1,6,6.7
4,1,1,3,1,8,35.699999999999996
5,1,0,0,1,11,48.99999999999999
3,1,0,2,1,6,27.9
3,1,0,1,1,2,31.5
2,1,0,1,1,1,14.0
2,1,0,1,0,1,13.7
2,1,1,1,0,3,0.0
3,1,2,1,1,4,0.0
3,1,1,1,1,5,16.3
3,1,1,1,1,1,0.0
2,1,1,1,0,1,0.0
3,1,1,1,0,6,2.3
3,1,1,2,1,6,0.0
3,1,0,1,1,8,46.0
2,1,0,1,0,4,14.8
3,1,0,1,1,5,25.1
2,1,0,0,2,5,2.6
3,1,0,1,1,5,10.899999999999999
3,1,1,1,1,6,10.2
3,1,0,1,1,6,25.7
3,1,0,2,1,6,24.7
3,1,0,1,1,5,29.0
4,1,0,1,2,4,0.0
3,1,0,1,1,5,16.4
2,1,0,1,1,3,0.0
3,1,0,1,1,8,41.6
3,1,1,2,1,7,24.0
2,1,0,1,1,4,0.0
4,1,0,2,1,10,50.2
4,2,0,2,1,8,92.9
3,1,0,1,1,6,30.5
3,1,1,0,1,5,37.9
3,1,1,1,1,2,75.4
2,1,1,1,0,1,1.5
3,1,0,0,1,1,15.9
3,1,1,1,1,2,0.0
4,1,0,1,2,5,21.0
2,1,1,1,0,0,0.0
4,1,0,2,1,8,29.1
3,1,1,1,1,2,116.8
3,1,0,1,1,4,41.0
3,1,0,0,1,1,10.1
3,1,1,1,0,4,20.0
4,1,1,1,1,3,0.0
3,1,1,1,1,1,0.0
3,1,1,1,1,1,0.0
3,1,1,1,1,1,0.0
3,1,1,1,1,1,0.0
4,1,1,1,1,6,6.0
3,1,1,1,1,2,3.3
3,1,1,1,1,4,0.0
3,1,1,1,1,3,10.2
3,1,1,1,1,3,12.0
2,1,1,1,0,3,9.0
4,1,1,1,1,5,32.0
2,1,1,1,1,1,0.0
3,1,1,1,1,1,0.0
2,1,1,1,0,4,15.500000000000002
3,1,1,1,1,4,13.399999999999999
3,1,1,1,1,1,0.0
4,1,1,1,1,5,34.699999999999996
3,1,1,1,1,6,41.2
4,1,1,1,1,8,33.300000000000004
2,1,1,1,1,3,7.0
3,1,2,1,1,3,14.7
